geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
3,3,2,3,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Asia,Math/Statistics,TRUE,0.5555555555555556,0.2962962962962963
4,3,1,1,2,FALSE,FALSE,neither,neither,25,Female,Asia,Tech,TRUE,0.2962962962962963,0.2222222222222222
4,1,1,1,1,FALSE,FALSE,neither,neither,35,Male,Asia,Chemistry/Physics,TRUE,0.14814814814814814,0.14814814814814814
3,5,5,1,2,FALSE,FALSE,Star Wars,Star Wars,25,Female,Asia,Math/Statistics,TRUE,0.9259259259259259,0.2222222222222222
3,3,4,3,2,FALSE,FALSE,neither,Star Wars,25,Male,Asia,Finance/Economics/Business,TRUE,0.5185185185185185,0.37037037037037035
3,4,3,3,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Asia,Tech,TRUE,0.7037037037037037,0.37037037037037035
2,3,4,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,North America,Tech,TRUE,0.7037037037037037,0.14814814814814814
5,4,5,2,2,FALSE,FALSE,Star Wars,Star Trek,25,Other,Africa,Tech,TRUE,0.8518518518518519,0.2962962962962963
4,1,4,3,1,FALSE,FALSE,Star Wars,neither,25,Female,Europe,Finance/Economics/Business,TRUE,0.5555555555555556,0.2962962962962963
3,3,1,3,1,FALSE,FALSE,neither,neither,25,Male,Asia,Math/Statistics,TRUE,0.2962962962962963,0.2962962962962963
2,2,4,2,1,FALSE,FALSE,neither,neither,25,Male,Asia,Tech,TRUE,0.4444444444444444,0.2222222222222222
3,1,1,1,1,FALSE,FALSE,neither,neither,25,Male,Africa,Math/Statistics,TRUE,0.14814814814814814,0.14814814814814814
4,3,2,4,2,FALSE,FALSE,neither,Star Trek,25,Male,Asia,Tech,TRUE,0.37037037037037035,0.4444444444444444
4,3,1,3,1,FALSE,FALSE,Star Wars,Star Trek,25,Male,Asia,Tech,FALSE,0.48148148148148145,0.2962962962962963
1,5,3,3,1,FALSE,FALSE,Star Wars,neither,35,Male,North America,Tech,TRUE,0.7777777777777778,0.2962962962962963
3,3,4,3,1,FALSE,FALSE,neither,Star Wars,25,Female,Asia,Tech,TRUE,0.5185185185185185,0.2962962962962963
2,2,1,2,1,FALSE,FALSE,neither,Star Wars,25,Female,Asia,Tech,TRUE,0.2222222222222222,0.2222222222222222
